eval_loss,eval_rouge1,eval_rouge2,eval_rougeL
2.673443078994751,0.4442,0.1409,0.3608
2.5697073936462402,0.4486,0.1452,0.3659
2.5316646099090576,0.4539,0.1504,0.3715
2.463505744934082,0.4574,0.1505,0.3753
2.4770002365112305,0.4562,0.1528,0.3766
2.449709415435791,0.4517,0.1539,0.3747
2.4292256832122803,0.462,0.1572,0.3794
2.406512498855591,0.4669,0.1597,0.3842
2.405644416809082,0.4589,0.1559,0.3764
2.3773019313812256,0.4639,0.1588,0.3815
2.382033109664917,0.4687,0.1593,0.3832
2.3668806552886963,0.468,0.1635,0.3868
2.366384983062744,0.4738,0.168,0.3897
2.3569841384887695,0.4735,0.1683,0.3912
2.3654255867004395,0.4743,0.1665,0.3896
2.3378098011016846,0.471,0.1685,0.3917
2.3454174995422363,0.4765,0.1673,0.39
2.707444906234741,0.4696,0.1599,0.3848
2.3244152069091797,0.4745,0.1678,0.3938
2.337512493133545,0.4763,0.1679,0.3928
2.6733925342559814,0.4626,0.1525,0.3802
2.642841100692749,0.4607,0.151,0.3782
2.6166765689849854,0.4667,0.1522,0.3844
2.604945182800293,0.4674,0.1538,0.3809
2.603767156600952,0.4643,0.1472,0.3782
2.56825852394104,0.4643,0.1558,0.384
2.5678915977478027,0.4627,0.1508,0.3817
2.5622658729553223,0.4723,0.1561,0.3829
2.5478298664093018,0.4701,0.1529,0.3822
2.5042662620544434,0.4729,0.1552,0.3889
2.5055034160614014,0.4688,0.1518,0.383
