eval_loss,eval_rouge1,eval_rouge2,eval_rougeL
2.7655906677246094,0.4435,0.1426,0.3623
2.6717476844787598,0.4508,0.1469,0.3697
2.582366943359375,0.4557,0.1512,0.3743
2.4802780151367188,0.4635,0.1568,0.3809
2.4850494861602783,0.4646,0.1565,0.3786
2.4821274280548096,0.4588,0.1546,0.3783
2.4434309005737305,0.461,0.158,0.3789
2.4326555728912354,0.4666,0.1578,0.3803
2.419513702392578,0.464,0.1577,0.3825
2.404801368713379,0.4691,0.1577,0.3807
2.374558210372925,0.4688,0.1594,0.3855
2.3760008811950684,0.4656,0.1593,0.3839
2.3737289905548096,0.4707,0.1625,0.3856
2.359954833984375,0.4698,0.1634,0.3876
2.3409957885742188,0.4758,0.1642,0.3894
2.3525211811065674,0.4656,0.1608,0.3864
2.7255349159240723,0.4625,0.146,0.3737
2.702608108520508,0.4673,0.1493,0.3795
2.6641814708709717,0.4701,0.1489,0.3786
2.6115224361419678,0.474,0.1532,0.3843
2.5667829513549805,0.4728,0.1572,0.3855
2.583559036254883,0.4744,0.1566,0.385
2.5802996158599854,0.4656,0.1499,0.3776
2.561126708984375,0.478,0.1589,0.388
2.547780990600586,0.4782,0.1565,0.3841
2.5180537700653076,0.4781,0.1612,0.3856
2.507310390472412,0.4772,0.1603,0.3855
2.502532482147217,0.4712,0.1572,0.3834
2.4721567630767822,0.47,0.1606,0.3843
2.474045515060425,0.4779,0.16,0.3881
2.438084125518799,0.4783,0.1621,0.387
