eval_loss,eval_rouge1,eval_rouge2,eval_rougeL
2.670245885848999,0.4654,0.1547,0.3765
2.5898141860961914,0.4549,0.1463,0.3698
2.5199100971221924,0.4606,0.1531,0.377
2.481996536254883,0.4677,0.1637,0.3831
2.4649415016174316,0.4664,0.1608,0.3844
2.440467357635498,0.4713,0.1632,0.3854
2.417935848236084,0.4668,0.1603,0.386
2.4224350452423096,0.4635,0.1549,0.3809
2.3971095085144043,0.4673,0.1598,0.3869
2.367779493331909,0.4675,0.1632,0.3865
2.3787057399749756,0.4628,0.1621,0.3864
2.381728172302246,0.4619,0.1566,0.3829
2.838930368423462,0.4549,0.1401,0.367
2.3544557094573975,0.4678,0.1621,0.3856
