eval_loss,eval_rouge1,eval_rouge2,eval_rougeL
2.685485363006592,0.4431,0.1426,0.3606
2.5870139598846436,0.4477,0.1461,0.366
2.542135238647461,0.4564,0.1528,0.3732
2.508070230484009,0.4514,0.1484,0.3727
2.4885635375976562,0.4633,0.1573,0.377
2.460113048553467,0.4596,0.1583,0.378
2.447385787963867,0.4658,0.1597,0.3821
2.4074838161468506,0.4679,0.1641,0.3824
2.4166793823242188,0.4582,0.1541,0.3766
2.4048893451690674,0.4559,0.1559,0.3787
2.357781171798706,0.4627,0.1568,0.3823
2.3545615673065186,0.4655,0.159,0.3824
2.375338315963745,0.4625,0.1581,0.3808
2.360348701477051,0.4612,0.1604,0.3818
2.3762636184692383,0.4547,0.15,0.3739
2.8071413040161133,0.4461,0.1362,0.3584
2.740705728530884,0.4545,0.1445,0.3678
2.770878791809082,0.4572,0.1436,0.3691
2.686634063720703,0.4571,0.1452,0.3671
2.6575496196746826,0.4636,0.1502,0.3712
2.6405420303344727,0.463,0.1476,0.3706
2.60854172706604,0.467,0.1541,0.3802
2.616581678390503,0.4634,0.1487,0.3759
2.580578565597534,0.4675,0.152,0.3787
2.609259843826294,0.4635,0.1492,0.3767
2.544790506362915,0.4699,0.1545,0.3824
